epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2038,0.49531,0.87552,1.09015,0.95524,0.92099,0.98143,0.88104,0.47591,0.8874,1.04371,0.000663212,0.000663212,0.000663212
2,35.9986,0.42786,0.44826,1.0099,0.99694,0.9921,0.99498,0.92878,0.34197,0.34189,0.95407,0.00128599,0.00128599,0.00128599
3,52.8576,0.42076,0.36328,1.00289,0.99642,0.99436,0.995,0.91162,0.37637,0.37867,1.02644,0.00186477,0.00186477,0.00186477
4,69.2038,0.40051,0.31877,0.98971,0.99886,0.99262,0.995,0.95967,0.29758,0.21761,0.92618,0.001802,0.001802,0.001802
5,86.7808,0.37578,0.28497,0.97556,0.99982,0.9921,0.995,0.95992,0.30005,0.22469,0.92664,0.001736,0.001736,0.001736
6,106.366,0.35996,0.2693,0.96766,0.99661,0.99537,0.995,0.96918,0.26482,0.20141,0.89966,0.00167,0.00167,0.00167
7,122.389,0.36277,0.26738,0.97366,0.92071,0.96953,0.98823,0.93616,0.36994,0.60374,0.96846,0.001604,0.001604,0.001604
8,138.776,0.35539,0.25904,0.96762,0.99528,0.99549,0.99499,0.96616,0.26249,0.19956,0.89015,0.001538,0.001538,0.001538
9,154.762,0.33665,0.24273,0.95695,0.99773,0.99077,0.99498,0.96768,0.26905,0.21165,0.89846,0.001472,0.001472,0.001472
10,170.798,0.33004,0.24143,0.95139,0.99763,0.99661,0.995,0.9662,0.28013,0.20074,0.8986,0.001406,0.001406,0.001406
11,186.8,0.32945,0.23674,0.95524,0.99661,0.99652,0.995,0.98218,0.24023,0.17784,0.87331,0.00134,0.00134,0.00134
12,203.531,0.32191,0.22743,0.94861,0.99765,0.99549,0.995,0.98003,0.24468,0.17998,0.87104,0.001274,0.001274,0.001274
13,219.562,0.31719,0.23183,0.94326,0.99917,0.9921,0.995,0.98629,0.2427,0.16454,0.86764,0.001208,0.001208,0.001208
14,235.383,0.30752,0.21891,0.9422,0.99549,0.99621,0.995,0.98145,0.2412,0.162,0.8698,0.001142,0.001142,0.001142
15,251.999,0.30671,0.21294,0.94104,0.99866,0.99549,0.995,0.97881,0.23799,0.17557,0.86798,0.001076,0.001076,0.001076
16,268.468,0.3022,0.21266,0.93816,0.99774,0.99524,0.995,0.97422,0.2597,0.17709,0.88828,0.00101,0.00101,0.00101
17,284.406,0.30099,0.21114,0.93805,0.99918,0.9921,0.995,0.98166,0.24025,0.18531,0.86613,0.000944,0.000944,0.000944
18,300.102,0.29165,0.20254,0.93812,0.99832,0.99323,0.99499,0.98122,0.24605,0.17339,0.87391,0.000878,0.000878,0.000878
19,316.347,0.29153,0.20078,0.934,0.99774,0.99545,0.995,0.97904,0.23437,0.15358,0.87013,0.000812,0.000812,0.000812
20,332.236,0.2851,0.19196,0.93212,0.99953,0.9921,0.995,0.98176,0.22967,0.1532,0.86351,0.000746,0.000746,0.000746
21,359.39,0.21806,0.15707,0.87244,0.99991,0.9921,0.995,0.97484,0.24846,0.17377,0.88043,0.00068,0.00068,0.00068
22,375.049,0.21231,0.15342,0.87315,0.99971,0.9921,0.995,0.98509,0.22959,0.15175,0.86119,0.000614,0.000614,0.000614
23,390.969,0.21012,0.14431,0.86592,1,0.99295,0.995,0.98546,0.22668,0.14598,0.85687,0.000548,0.000548,0.000548
24,406.922,0.20657,0.14027,0.86781,0.9986,0.99436,0.995,0.98315,0.22357,0.13333,0.85299,0.000482,0.000482,0.000482
25,422.516,0.20124,0.13942,0.86091,1,0.99414,0.995,0.98559,0.22061,0.13786,0.85247,0.000416,0.000416,0.000416
26,438.213,0.19434,0.1343,0.85548,0.99914,0.99436,0.995,0.98566,0.21256,0.12571,0.84979,0.00035,0.00035,0.00035
27,454.317,0.18695,0.12607,0.85753,0.99996,0.99323,0.995,0.98412,0.21367,0.12705,0.85154,0.000284,0.000284,0.000284
28,470.313,0.18432,0.12084,0.85161,0.99994,0.99323,0.995,0.98553,0.20879,0.12115,0.84827,0.000218,0.000218,0.000218
29,486.358,0.17892,0.11274,0.84961,0.99987,0.9921,0.995,0.99042,0.20234,0.1125,0.84319,0.000152,0.000152,0.000152
30,502.855,0.17628,0.10897,0.84324,0.99987,0.9921,0.995,0.98956,0.19984,0.10815,0.84112,8.6e-05,8.6e-05,8.6e-05
